student_id,platform,subject,required,activity_time_level,participation_level,page_views_level,assignment_on_time,failed,motivation_statement,expectancy,utility_value,intrinsic_value,imposed_value,cost
76,gemini,CHEM,1,3,2,1,0.527038234,0,"Fund of Chemical Principles I is a core course for my chemical engineering pathway. I'm really motivated to succeed, but I've been struggling with some of the foundational topics, so I'm hoping to improve throughout the semester.",0,1,1,1,1
77,gemini,CHEM,0,2,3,3,1,0,"I've always enjoyed science, and this course is a natural progression. I'm looking forward to the challenge and gaining a deeper insight into how chemical principles govern the world around us.",,0,1,0,0
78,gemini,CHEM,1,3,1,2,0.897409414,0,"Chemistry is a prerequisite for my program, so I'm here to fulfill that. I'm aiming to pass and gain the necessary credits.",,0,0,1,0
79,gemini,CHEM,1,1,1,1,0.82019853,0,"I'm taking this course because it's mandatory. I'm not really sure what to expect, and I'm not particularly looking forward to it.",,0,0,1,0
80,gemini,CHEM,0,1,2,2,0.933764116,0,"This course is a critical step towards my career in environmental consulting. I'm eager to build a strong foundation in chemistry, as it's fundamental to understanding pollution and remediation.",,1,1,0,0
81,gemini,CHEM,1,2,1,2,0.482486217,0,I'm taking this course because it's a general education requirement for my degree. I hope to get through it successfully and move on to my major-specific courses.,,0,0,1,0
325,claude,CHEM,1,1,2,2,0.887049217,0,I have to take this course but I'm already overwhelmed with my course load. I'm considering dropping it and taking it over the summer when I can focus on it.,0,0,0,1,1
83,gemini,CHEM,0,3,3,3,0.995711257,0,"I'm taking this course to fulfill a major requirement, but I'm also genuinely interested in the subject. I hope to improve my problem-solving skills and develop a more rigorous scientific mindset.",,1,1,1,0
84,gemini,CHEM,1,2,1,3,1,0,"I have to take Chemistry for my degree, but I've always struggled with science. I'm hoping to somehow get by.",0,0,0,1,1
85,gemini,CHEM,1,1,1,2,0.776345956,0,It's a required course for my major. I'm just trying to get through it and focus on other areas of my studies that I find more engaging.,,0,0,1,0
86,gemini,CHEM,1,3,1,2,0.718301279,0,"I want to understand chemistry better for my personal growth and to fulfill a major requirement. I'm finding the material quite challenging, but I'm trying my best to keep up and learn as much as possible.",0,0,1,1,1
87,gemini,CHEM,0,3,3,3,0.909824296,0,I'm taking Fund of Chemical Principles I because it's essential for my chemical engineering major. I'm excited to deepen my understanding of chemical processes and material science.,,1,1,1,0
88,gemini,CHEM,1,1,1,1,1,0,"This is a required course, and I'm just trying to get it over with. Chemistry isn't my strongest subject, so I anticipate a challenge.",0,0,0,1,1
89,gemini,CHEM,1,2,1,1,0.945750222,0,I need this course to satisfy a general education requirement. I'm hoping to learn enough to pass and apply the concepts where relevant.,,1,0,1,0
90,gemini,CHEM,1,2,2,3,0.840535969,0,"I'm taking Fund of Chemical Principles I because it's crucial for my aspiration to become a pharmacist. I know it will be challenging, but I'm determined to grasp the concepts despite my past difficulties with science.",1,1,0,0,1
91,gemini,CHEM,0,1,2,3,0.996990115,0,"As a materials science major, this is a core requirement. I believe a solid grasp of chemistry will be invaluable for understanding new material development.",,1,0,1,0
92,gemini,CHEM,1,2,1,3,0.89941551,0,I'm enrolled in this course because it's a prerequisite. I find chemistry very difficult and I'm not sure I'll enjoy it.,0,0,0,1,1
93,gemini,CHEM,1,1,1,3,1,0,"This class is required for graduation. I'm not particularly passionate about chemistry, but I'm committed to doing what's necessary to complete my degree.",,0,0,1,0
94,gemini,CHEM,1,3,2,2,0.814692036,0,"Fund of Chemical Principles I is a core course for my biology pathway. I'm really motivated to succeed, but I've been struggling with some of the foundational topics, so I'm hoping to improve throughout the semester.",0,1,0,1,1
95,gemini,CHEM,0,1,3,2,0.927233785,0,"I've always enjoyed science, and this course is a natural progression. I'm looking forward to the challenge and gaining a deeper insight into how chemical principles govern the world around us.",,0,1,0,0
96,gemini,CHEM,1,1,2,1,0.801578369,0,"Chemistry is a prerequisite for my program, so I'm here to fulfill that. I'm aiming to pass and gain the necessary credits.",,0,0,1,0
97,gemini,CHEM,1,1,2,2,0.58729701,0,"I'm taking this course because it's mandatory. I'm not really sure what to expect, and I'm not particularly looking forward to it.",,0,0,1,0
98,gemini,CHEM,0,3,2,1,0.964418042,0,"This course is a critical step towards my career in agricultural science. I'm eager to build a strong foundation in chemistry, as it's fundamental to soil and crop analysis.",,1,1,0,0
99,gemini,CHEM,1,2,1,2,0.932211054,0,I'm taking this course because it's a general education requirement for my degree. I hope to get through it successfully and move on to my major-specific courses.,,0,0,1,0
100,gemini,CHEM,1,1,2,3,0.920767018,0,"I'm taking this course to strengthen my scientific analytical skills, which are important for my health sciences major. I'm finding it tougher than I expected, but I'm dedicated to improving my understanding and performance.",1,1,0,0,1
301,claude,CHEM,1,1,3,3,0.936541287,0,I'm taking this course because it's required for my pre-med track. I've always been fascinated by how chemical reactions work in the human body and I want to understand the molecular basis of life.,,1,1,1,0
101,gemini,PHYS,1,3,3,1,0.818462926,0,I'm taking General Physics I because it's a fundamental requirement for my engineering curriculum. I'm excited to explore the principles that govern the physical world and apply them to real-world problems.,,1,1,1,0
302,claude,CHEM,1,1,1,2,0.795870935,0,This is a requirement for my nursing program but chemistry is really hard for me. I'm better with people than with formulas and I'm struggling to keep up.,0,0,0,1,1
103,gemini,PHYS,1,2,2,1,0.811457097,0,"I need this for my computer science major to understand hardware principles. I'm aiming to grasp the core concepts, even if the math can be challenging.",,1,0,1,1
104,gemini,PHYS,1,3,2,1,0.79965841,1,"Physics is crucial for my architecture degree, especially for understanding structural integrity. I'm finding some of the problem-solving difficult, but I'm determined to master it.",1,1,0,0,1
105,gemini,PHYS,0,2,2,2,0.895807143,0,"As a physics major, this is obviously a core course. I'm eager to delve into mechanics and develop a deeper analytical understanding of the universe.",,0,1,1,0
303,claude,CHEM,0,2,2,3,0.980607629,0,I'm taking chemistry because I'm considering switching to a chemistry major. I want to see if I enjoy the subject enough to change my career path from business to science.,,1,1,0,0
107,gemini,PHYS,1,1,1,1,1,0,This class is required for my pre-med program. I'm focused on learning the essential physical concepts that will be relevant to biological systems and medical devices.,,1,0,1,0
304,claude,CHEM,1,3,2,3,0.946186672,0,This course is required for my chemical engineering degree. I'm excited to learn the fundamental principles that will help me design chemical processes and work in industry.,,1,1,1,0
109,gemini,PHYS,0,2,3,1,0.985755039,0,"I've always been fascinated by how the world works, and physics provides those answers. I'm looking forward to understanding the fundamental laws and their implications.",,0,1,0,0
110,gemini,PHYS,1,3,1,2,0.865110817,0,This is a required science credit. I'm aiming to get a decent grade and fulfill the requirement without too much difficulty.,,0,0,1,0
111,gemini,PHYS,1,1,1,1,0.496245757,1,"I have to take this for my degree. I'm not sure what to expect, but I'm not particularly enthusiastic about physics.",,0,0,1,0
112,gemini,PHYS,0,3,2,2,0.916022919,0,"This course is vital for my future in robotics and automation. I'm eager to understand the principles of motion, force, and energy that are fundamental to designing intelligent machines.",,1,1,0,0
113,gemini,PHYS,1,2,1,3,0.892046042,0,It's a general education science requirement. I'm just trying to get through it and focus on my social science courses.,,0,0,1,0
305,claude,CHEM,1,1,1,1,1,0,I have to take this for my degree but I'm already behind in my other classes. The lab work takes so much time and I'm working part-time to pay for school.,,0,0,1,1
115,gemini,PHYS,0,3,3,1,0.940763904,0,"I'm taking this course to fulfill a major requirement, but I'm also genuinely interested in the subject. I hope to improve my problem-solving skills and develop a more rigorous scientific mindset.",,1,1,1,0
188,gemini,CS,1,1,3,2,0.990154734,1,"This is a required course, and I'm just trying to get it over with. Computing isn't my strongest subject, so I anticipate a challenge.",0,0,0,1,1
117,gemini,PHYS,1,1,1,2,0.873057646,0,It's a required course for my major. I'm just trying to get through it and focus on other areas of my studies that I find more engaging.,,0,0,1,0
118,gemini,PHYS,1,2,1,2,0.646264392,0,"I want to understand physical principles better for my personal growth and to fulfill a major requirement. I'm finding the material quite challenging, but I'm trying my best to keep up and learn as much as possible.",0,0,1,1,1
119,gemini,PHYS,0,3,3,3,1,0,I'm taking General Physics I because it's essential for my mechanical engineering major. I'm excited to deepen my understanding of mechanics and thermodynamics.,,1,1,1,0
192,gemini,CS,1,2,3,1,1,1,I'm enrolled in this course because it's a prerequisite. I find programming very difficult and I'm not sure I'll enjoy it.,0,0,0,1,1
121,gemini,PHYS,1,1,1,2,1,0,I need this course to satisfy a general education requirement. I'm hoping to learn enough to pass and apply the concepts where relevant.,,1,0,1,0
122,gemini,PHYS,1,2,2,3,0.783591882,1,"I'm taking General Physics I because it's crucial for my aspiration to become a game developer. I know it will be challenging, but I'm determined to grasp the concepts for realistic game physics.",1,1,0,0,1
123,gemini,PHYS,0,3,2,2,1,0,"As an astrophysics major, this is a core requirement. I believe a solid grasp of physics will be invaluable for understanding celestial mechanics and cosmic phenomena.",,1,0,1,0
405,claude,CS,1,2,2,1,0.709722341,1,I have to take this for my degree but I'm really struggling with the logic and problem-solving. Programming is completely different from anything I've done before.,0,0,0,1,1
125,gemini,PHYS,1,3,1,1,0.997371419,0,"This class is required for graduation. I'm not particularly passionate about physics, but I'm committed to doing what's necessary to complete my degree.",,0,0,1,0
430,claude,CS,1,1,2,1,1,0,This is a requirement I've been avoiding. I'm a senior and need to graduate but I've always been intimidated by programming and technical subjects.,0,0,0,1,1
127,gemini,PHYS,0,2,3,3,0.860946367,0,"I've always enjoyed problem-solving, and physics provides a great framework for it. I'm looking forward to the challenge and gaining a deeper insight into how physical principles govern the world around us.",,0,1,0,0
128,gemini,PHYS,1,1,1,3,0.766740454,0,"Physics is a prerequisite for my program, so I'm here to fulfill that. I'm aiming to pass and gain the necessary credits.",,0,0,1,0
129,gemini,PHYS,1,1,1,1,0.899930273,1,"I'm taking this course because it's mandatory. I'm not really sure what to expect, and I'm not particularly looking forward to it.",,0,0,1,0
130,gemini,PHYS,0,3,2,3,0.844478652,0,"This course is a critical step towards my career in renewable energy. I'm eager to build a strong foundation in physics, as it's fundamental to understanding energy conversion and efficiency.",,1,1,0,0
131,gemini,PHYS,1,2,1,1,0.569867314,0,I'm taking this course because it's a general education requirement for my degree. I hope to get through it successfully and move on to my major-specific courses.,,0,0,1,0
132,gemini,PHYS,1,2,2,2,0.930284446,0,"This course is a requirement for my sports science degree, and I recognize its importance for biomechanics. I'm committed to putting in the effort, even though I often find physical concepts difficult to fully grasp.",0,1,0,1,1
133,gemini,PHYS,0,3,3,3,0.853769629,0,"I'm taking this course to fulfill a major requirement, but I'm also genuinely interested in the subject. I hope to improve my problem-solving skills and develop a more rigorous scientific mindset.",,1,1,1,0
134,gemini,PHYS,1,1,1,2,0.974718486,0,"I have to take Physics for my degree, but I've always struggled with science. I'm hoping to somehow get by.",0,0,0,1,1
135,gemini,PHYS,1,2,3,1,0.696115153,1,It's a required course for my major. I'm just trying to get through it and focus on other areas of my studies that I find more engaging.,,0,0,1,0
136,gemini,PHYS,1,1,1,2,1,0,"I want to understand physical principles better for my personal growth and to fulfill a major requirement. I'm finding the material quite challenging, but I'm trying my best to keep up and learn as much as possible.",0,0,1,1,1
137,gemini,PHYS,0,3,3,2,0.881674671,0,I'm taking General Physics I because it's essential for my civil engineering major. I'm excited to deepen my understanding of statics and dynamics.,,1,1,0,0
138,gemini,PHYS,1,2,1,1,0.815587697,0,"This is a required course, and I'm just trying to get it over with. Physics isn't my strongest subject, so I anticipate a challenge.",0,0,0,1,1
139,gemini,PHYS,1,3,1,1,1,0,I need this course to satisfy a general education requirement. I'm hoping to learn enough to pass and apply the concepts where relevant.,,1,0,1,0
140,gemini,PHYS,1,1,1,1,0.735370353,0,"I'm taking General Physics I because it's crucial for my aspiration to become a robotics engineer. I know it will be challenging, but I'm determined to grasp the concepts despite my past difficulties with science.",1,1,0,0,1
141,gemini,PHYS,0,3,2,3,0.95411899,0,"As a biomedical engineering major, this is a core requirement. I believe a solid grasp of physics will be invaluable for understanding medical imaging and device design.",,1,0,1,0
142,gemini,PHYS,1,2,1,1,1,0,I'm enrolled in this course because it's a prerequisite. I find physics very difficult and I'm not sure I'll enjoy it.,0,0,0,1,1
143,gemini,PHYS,1,1,1,1,0.558503353,0,"This class is required for graduation. I'm not particularly passionate about physics, but I'm committed to doing what's necessary to complete my degree.",,0,0,1,0
440,claude,CS,1,1,2,1,0.947695079,0,I have to take this course but I'm more interested in the humanities. The logical problem-solving required for programming doesn't come naturally to me.,0,0,0,1,1
145,gemini,PHYS,0,3,3,3,0.985988279,0,"I've always enjoyed learning about the natural world, and physics offers a deep dive into its mechanics. I'm looking forward to the challenge and gaining a deeper insight into how physical principles govern the world around us.",,0,1,0,0
146,gemini,PHYS,1,1,1,2,1,0,"Physics is a prerequisite for my program, so I'm here to fulfill that. I'm aiming to pass and gain the necessary credits.",,0,0,1,0
147,gemini,PHYS,1,1,1,1,0.632609858,0,"I'm taking this course because it's mandatory. I'm not really sure what to expect, and I'm not particularly looking forward to it.",,0,0,1,0
148,gemini,PHYS,0,3,2,1,0.721931508,0,"This course is a critical step towards my career in civil engineering. I'm eager to build a strong foundation in physics, as it's fundamental to structural analysis and design.",,1,1,0,0
149,gemini,PHYS,1,2,1,2,0.984388313,0,I'm taking this course because it's a general education requirement for my degree. I hope to get through it successfully and move on to my major-specific courses.,,0,0,1,0
150,gemini,PHYS,1,1,2,2,0.964547701,0,"I'm taking this course to strengthen my analytical and problem-solving skills, which are important for my finance major. I'm finding it tougher than I expected, but I'm dedicated to improving my understanding and performance.",1,1,0,0,1
151,gemini,CS,1,3,3,3,0.985049285,0,I'm taking Intro to Computing because it's a foundational course for my computer science major. I'm excited to learn programming fundamentals and understand how technology works.,,1,1,0,0
152,gemini,CS,0,1,1,1,0.949289642,0,"This course is a general education requirement, and I'm not really good with computers. I just want to pass and get it over with.",0,0,0,1,1
153,gemini,CS,1,2,1,2,0.743995056,0,"I need this for my data science minor. I'm hoping to grasp the basics of coding and logic, even if it feels a bit intimidating right now.",0,1,0,1,1
154,gemini,CS,1,3,2,3,0.954838055,0,"Computing is crucial for my digital media degree, especially for interactive design. I'm finding some of the coding concepts challenging, but I'm determined to master them for my career.",1,1,0,0,1
155,gemini,CS,0,1,2,2,0.963960871,0,"As a software engineering student, this is obviously a core course. I'm eager to delve into algorithms and develop strong problem-solving skills through coding.",,1,1,1,0
156,gemini,CS,1,1,1,1,0.737129716,0,"I'm enrolled because it's a prerequisite. I've always struggled with technology, and I'm not looking forward to debugging code.",0,0,0,1,1
157,gemini,CS,1,1,1,1,1,0,This class is required for my business analytics program. I'm focused on learning the essential computing concepts that will be relevant to data manipulation and reporting.,,1,0,1,0
158,gemini,CS,1,3,2,2,0.991074938,0,"Intro to Computing is a key course for my cybersecurity pathway. I'm highly motivated, but the abstract nature of some programming concepts is overwhelming, and I'm struggling to write clean code.",0,1,0,0,1
159,gemini,CS,0,2,3,3,0.84086965,0,"I've always been fascinated by how software is built, and this course seems like the perfect starting point. I'm looking forward to creating my first programs.",,0,1,0,0
160,gemini,CS,1,1,1,2,1,0,This is a required elective. I'm aiming to get a decent grade and fulfill the requirement without too much difficulty.,,0,0,1,0
